Unnamed: 0,Año,Trimestre,Provincia,Velocidad_Media,Objetivo_KPI
238,2020,3,Tierra Del Fuego,851.0,29685.000000000004
239,2020,3,Tucumán,3.484,21.940000000000012
240,2020,2,Buenos Aires,4.566,139.71499999999997
241,2020,2,Capital Federal,6.048,217.52000000000004
242,2020,2,Catamarca,3.493,83.38250000000001
243,2020,2,Chaco,2.795,46.73750000000001
244,2020,2,Chubut,761.0,39852.5
245,2020,2,Córdoba,3.099,62.697500000000026
246,2020,2,Corrientes,2.215,16.287499999999987
247,2020,2,Entre Ríos,2.045,7.362500000000005
248,2020,2,Formosa,1.687,-11.43249999999999
249,2020,2,Jujuy,1.586,-16.73499999999999
250,2020,2,La Pampa,803.0,42057.50000000001
251,2020,2,La Rioja,1.167,-38.732499999999995
252,2020,2,Mendoza,927.0,48567.5
253,2020,2,Misiones,2.256,18.43999999999999
254,2020,2,Neuquén,2.91,52.77500000000002
255,2020,2,Río Negro,1.968,3.320000000000012
256,2020,2,Salta,2.256,18.43999999999999
257,2020,2,San Juan,631.0,33027.5
258,2020,2,San Luis,2.102,10.355000000000004
259,2020,2,Santa Cruz,659.0,34497.5
260,2020,2,Santa Fe,2.393,25.632499999999993
261,2020,2,Santiago Del Estero,1.041,-45.3475
262,2020,2,Tierra Del Fuego,813.0,42582.50000000001
263,2020,2,Tucumán,3.27,71.675
264,2020,1,Buenos Aires,4.518,374.39
265,2020,1,Capital Federal,5.871,516.4550000000002
266,2020,1,Catamarca,2.913,205.865
267,2020,1,Chaco,2.594,172.37
268,2020,1,Chubut,712.0,74660.0
269,2020,1,Córdoba,2.939,208.595
270,2020,1,Corrientes,2.054,115.66999999999999
271,2020,1,Entre Ríos,1.903,99.81500000000001
272,2020,1,Formosa,1.57,64.85000000000001
273,2020,1,Jujuy,1.414,48.46999999999999
274,2020,1,La Pampa,729.0,76445.0
275,2020,1,La Rioja,796.0,83480.0
276,2020,1,Mendoza,844.0,88520.0
277,2020,1,Misiones,2.215,132.575
278,2020,1,Neuquén,2.777,191.58500000000004
279,2020,1,Río Negro,1.906,100.13000000000001
280,2020,1,Salta,2.143,125.01500000000001
281,2020,1,San Juan,604.0,63320.00000000001
282,2020,1,San Luis,2.099,120.39500000000002
283,2020,1,Santa Cruz,642.0,67310.0
284,2020,1,Santa Fe,2.242,135.41000000000003
285,2020,1,Santiago Del Estero,1.0,5.000000000000004
286,2020,1,Tierra Del Fuego,741.0,77705.0
287,2020,1,Tucumán,3.225,238.62500000000006
288,2019,4,Buenos Aires,3.077,-19.228749999999994
289,2019,4,Capital Federal,4.42,16.025
290,2019,4,Catamarca,2.488,-34.69
291,2019,4,Chaco,2.337,-38.653749999999995
292,2019,4,Chubut,699.0,18248.75
293,2019,4,Córdoba,2.616,-31.32999999999999
294,2019,4,Corrientes,1.926,-49.4425
295,2019,4,Entre Ríos,1.701,-55.34874999999999
296,2019,4,Formosa,1.453,-61.85874999999999
297,2019,4,Jujuy,1.296,-65.97999999999999
298,2019,4,La Pampa,653.0,17041.25
299,2019,4,La Rioja,800.0,20900.0
300,2019,4,Mendoza,779.0,20348.75
301,2019,4,Misiones,2.032,-46.660000000000004
302,2019,4,Neuquén,2.602,-31.6975
303,2019,4,Río Negro,1.718,-54.902499999999996
304,2019,4,Salta,1.908,-49.915
305,2019,4,San Juan,604.0,15755.000000000002
306,2019,4,San Luis,2.069,-45.68875
307,2019,4,Santa Cruz,521.0,13576.250000000002
308,2019,4,Santa Fe,2.055,-46.05625
309,2019,4,Santiago Del Estero,979.0,25598.75
310,2019,4,Tierra Del Fuego,727.0,18983.75
311,2019,4,Tucumán,2.987,-21.591249999999995
312,2019,3,Buenos Aires,2.568,-10.119999999999996
313,2019,3,Capital Federal,3.871,35.485000000000014
