,Unnamed: 0,Año,Trimestre,Provincia,Accesos por cada 100 hogares
502,502,2017,4,Tierra Del Fuego,"59,89"
503,503,2017,4,Tucumán,"39,90"
504,504,2017,3,Buenos Aires,"55,63"
505,505,2017,3,Capital Federal,"121,86"
506,506,2017,3,Catamarca,"32,49"
507,507,2017,3,Chaco,"29,98"
508,508,2017,3,Chubut,"46,22"
509,509,2017,3,Córdoba,"62,31"
510,510,2017,3,Corrientes,"32,17"
511,511,2017,3,Entre Ríos,"45,96"
512,512,2017,3,Formosa,"21,35"
513,513,2017,3,Jujuy,"22,65"
514,514,2017,3,La Pampa,"69,14"
515,515,2017,3,La Rioja,"51,47"
516,516,2017,3,Mendoza,"35,70"
517,517,2017,3,Misiones,"30,21"
518,518,2017,3,Neuquén,"60,83"
519,519,2017,3,Río Negro,"48,52"
520,520,2017,3,Salta,"39,84"
521,521,2017,3,San Juan,"32,37"
522,522,2017,3,San Luis,"15,48"
523,523,2017,3,Santa Cruz,"33,29"
524,524,2017,3,Santa Fe,"60,91"
525,525,2017,3,Santiago Del Estero,"35,12"
526,526,2017,3,Tierra Del Fuego,"65,74"
527,527,2017,3,Tucumán,"39,70"
528,528,2017,2,Buenos Aires,"56,27"
529,529,2017,2,Capital Federal,"124,06"
530,530,2017,2,Catamarca,"25,98"
531,531,2017,2,Chaco,"29,05"
532,532,2017,2,Chubut,"35,55"
533,533,2017,2,Córdoba,"58,97"
534,534,2017,2,Corrientes,"31,39"
535,535,2017,2,Entre Ríos,"45,39"
536,536,2017,2,Formosa,"19,97"
537,537,2017,2,Jujuy,"22,40"
538,538,2017,2,La Pampa,"63,49"
539,539,2017,2,La Rioja,"16,20"
540,540,2017,2,Mendoza,"31,76"
541,541,2017,2,Misiones,"30,09"
542,542,2017,2,Neuquén,"61,91"
543,543,2017,2,Río Negro,"46,02"
544,544,2017,2,Salta,"32,74"
545,545,2017,2,San Juan,"26,96"
546,546,2017,2,San Luis,"9,51"
547,547,2017,2,Santa Cruz,"26,25"
548,548,2017,2,Santa Fe,"52,27"
549,549,2017,2,Santiago Del Estero,"14,12"
550,550,2017,2,Tierra Del Fuego,"68,46"
551,551,2017,2,Tucumán,"38,19"
552,552,2017,1,Buenos Aires,"58,57"
553,553,2017,1,Capital Federal,"108,37"
554,554,2017,1,Catamarca,"25,66"
555,555,2017,1,Chaco,"28,62"
556,556,2017,1,Chubut,"35,66"
557,557,2017,1,Córdoba,"57,65"
558,558,2017,1,Corrientes,"30,94"
559,559,2017,1,Entre Ríos,"44,91"
560,560,2017,1,Formosa,"19,84"
561,561,2017,1,Jujuy,"22,76"
562,562,2017,1,La Pampa,"62,67"
563,563,2017,1,La Rioja,"16,20"
564,564,2017,1,Mendoza,"31,84"
565,565,2017,1,Misiones,"29,52"
566,566,2017,1,Neuquén,"61,02"
567,567,2017,1,Río Negro,"46,03"
568,568,2017,1,Salta,"32,58"
569,569,2017,1,San Juan,"27,04"
570,570,2017,1,San Luis,"9,55"
571,571,2017,1,Santa Cruz,"26,52"
572,572,2017,1,Santa Fe,"51,97"
573,573,2017,1,Santiago Del Estero,"14,70"
574,574,2017,1,Tierra Del Fuego,"68,92"
575,575,2017,1,Tucumán,"37,90"
576,576,2016,4,Buenos Aires,"61,24"
577,577,2016,4,Capital Federal,"120,63"
578,578,2016,4,Catamarca,"26,54"
579,579,2016,4,Chaco,"28,79"
580,580,2016,4,Chubut,"36,07"
581,581,2016,4,Córdoba,"57,70"
582,582,2016,4,Corrientes,"30,98"
583,583,2016,4,Entre Ríos,"45,21"
584,584,2016,4,Formosa,"19,85"
585,585,2016,4,Jujuy,"22,65"
586,586,2016,4,La Pampa,"63,02"
587,587,2016,4,La Rioja,"16,46"
588,588,2016,4,Mendoza,"32,11"
589,589,2016,4,Misiones,"29,72"
590,590,2016,4,Neuquén,"60,87"
591,591,2016,4,Río Negro,"46,39"
592,592,2016,4,Salta,"32,69"
593,593,2016,4,San Juan,"27,29"
594,594,2016,4,San Luis,"9,64"
595,595,2016,4,Santa Cruz,"27,05"
596,596,2016,4,Santa Fe,"52,19"
597,597,2016,4,Santiago Del Estero,"15,07"
598,598,2016,4,Tierra Del Fuego,"70,31"
599,599,2016,4,Tucumán,"37,98"
600,600,2016,3,Buenos Aires,"60,14"
601,601,2016,3,Capital Federal,"120,77"
602,602,2016,3,Catamarca,"26,48"
603,603,2016,3,Chaco,"28,91"
604,604,2016,3,Chubut,"36,18"
605,605,2016,3,Córdoba,"58,24"
606,606,2016,3,Corrientes,"31,07"
607,607,2016,3,Entre Ríos,"45,44"
608,608,2016,3,Formosa,"18,64"
609,609,2016,3,Jujuy,"22,61"
610,610,2016,3,La Pampa,"61,73"
611,611,2016,3,La Rioja,"17,07"
612,612,2016,3,Mendoza,"32,09"
613,613,2016,3,Misiones,"29,91"
614,614,2016,3,Neuquén,"60,21"
615,615,2016,3,Río Negro,"46,39"
616,616,2016,3,Salta,"32,96"
617,617,2016,3,San Juan,"27,32"
618,618,2016,3,San Luis,"9,63"
619,619,2016,3,Santa Cruz,"26,84"
620,620,2016,3,Santa Fe,"52,67"
621,621,2016,3,Santiago Del Estero,"15,33"
622,622,2016,3,Tierra Del Fuego,"68,94"
623,623,2016,3,Tucumán,"37,90"
624,624,2016,2,Buenos Aires,"59,34"
625,625,2016,2,Capital Federal,"120,04"
626,626,2016,2,Catamarca,"26,07"
627,627,2016,2,Chaco,"28,59"
628,628,2016,2,Chubut,"36,12"
629,629,2016,2,Córdoba,"57,55"
630,630,2016,2,Corrientes,"30,58"
631,631,2016,2,Entre Ríos,"44,74"
632,632,2016,2,Formosa,"19,37"
633,633,2016,2,Jujuy,"21,89"
634,634,2016,2,La Pampa,"60,44"
635,635,2016,2,La Rioja,"16,88"
636,636,2016,2,Mendoza,"32,13"
637,637,2016,2,Misiones,"29,24"
638,638,2016,2,Neuquén,"59,10"
639,639,2016,2,Río Negro,"46,24"
640,640,2016,2,Salta,"32,08"
641,641,2016,2,San Juan,"27,34"
642,642,2016,2,San Luis,"9,60"
643,643,2016,2,Santa Cruz,"26,73"
644,644,2016,2,Santa Fe,"52,44"
645,645,2016,2,Santiago Del Estero,"15,89"
646,646,2016,2,Tierra Del Fuego,"67,72"
